1|巴克莱|巴克莱亚洲有限公司
2|巴黎巴|巴黎巴亚洲证券有限公司
3|巴西证券|巴西证券有限公司
4|百德能|百德能经纪有限公司
5|百利达|百利达证券有限公司
6|百裕证券|百裕证券有限公司
7|包大卫|包大卫证券投资有限公司
8|宝来证券|宝来证券(香港)有限公司
9|宝来资本|宝来资本（亚洲）有限公司
10|宝联证券|宝联证券有限公司
11|宝盛金融|宝盛金融服务有限公司
12|宝通证券|宝通证券亚洲有限公司
13|宝威证券|宝威证券有限公司
14|贝尔斯登|贝尔斯登亚洲有限公司
15|犇亚证券|犇亚证券(亚洲)有限公司
16|大和资本|大和资本市场金融交易香港有限公司
17|标准证券|标准证券亚洲有限公司
18|博大证券|博大证券有限公司
19|步基证券|步基证券有限公司
20|切尔西|Chelsea Securities Limited
21|昌利证券|昌利证券有限公司
22|昌盛证券|昌盛证券有限公司
23|昌万年|昌万年有限公司
24|长雄证券|长雄证券有限公司
25|长盈证券|长盈证券有限公司
26|常汇证券|常汇证券有限公司
27|陈岳明|陈岳明证券有限公司
28|创兴证券|创兴证券有限公司
29|达利证券|达利证券有限公司
30|达证券|达证券(香港)有限公司
31|大德证券|大德证券(亚洲)有限公司
32|大丰证券|大丰证券有限公司
33|大福证券|大福证券有限公司
34|大和证券|大和资本市场香港有限公司
35|大华继显|大华继显(香港)有限公司
36|大华证券|大华证券(香港)有限公司
37|大辉证券|大辉证券有限公司
38|大宁证券|大宁证券有限公司
39|大盛证券|大盛证券投资有限公司
40|大唐投资|大唐投资(证券)有限公司
41|大亚证券|大亚证券有限公司
42|大一投资|大一投资有限公司
43|大正证券|大正证券有限公司
44|大中华|大中华证券有限公司
45|大众金融|大众金融证券有限公司
46|大众证券|大众证券有限公司
47|国浩资本|国浩资本有限公司
48|德丰证券|德丰证券投资有限公司
49|德盛证券|德盛证券有限公司
50|德意志|德意志证券亚洲有限公司
51|第一上海|第一上海证券有限公司
52|第一证券|第一证券(香港)有限公司
53|电讯数码|电讯数码证券有限公司
54|鼎成证券|鼎成证券有限公司
55|东方汇财|东方滙财证券有限公司
56|东海东京|东海东京证券(亚洲)有限公司
57|东航国际|东航国际金融(香港)有限公司
58|东汇证券|东汇证券有限公司
